Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,P1,HEADER_02X03_FEMALE_SMD,1,CONN FEMALE 6POS DL .1IN GOLD SMD,S5712-ND,digikey
2,R1 R3 R4 R6,604_0805,4,RES SMD 604 OHM 1% 1/8W 0805,311-604CRCT-ND,digikey
3,R2 R5,120_0805,2,RES SMD 120 OHM 1% 1/8W 0805,311-120CRCT-ND,digikey
